Application Type,Technologies,Vulnerabilities,Attack Type,Security Measure,Breach Severity,Data Lost,Financial Loss(dollar)
Desktop Application,"C#, Qt","Command injection, Weak OpenSSL configuration",Data Exposure,Encrypt sensitive data and use proper access control.,High,6092,124453
Mobile Application,"Kotlin, Java, Flutter","Lack of proper background task handling, Hardcoded API keys and credentials, Lack of obfuscation in Dart code",SQL Injection,Use prepared statements and parameterized queries.,Low,1880,17723
Desktop Application,"Qt, JavaFX, C#","Insecure signal-slot communication, Hardcoded secrets in source code, Insecure Assembly loading",Code Injection,Avoid using eval() and sanitize user inputs.,Low,2939,16234
Mobile Application,"Kotlin, React Native","Lack of proper background task handling, Insecure async storage usage",XSS,Implement content security policy (CSP) and input validation.,Low,613,15632
Web Application,"MySQL, CSS","No rate limiting on database queries, Insecure External Stylesheets",Privilege Escalation,Apply the principle of least privilege and audit logs.,Critical,9459,238916
AI/ML Application,"Hugging Face, OpenAI API","Weak model deployment security, API Misconfiguration",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Critical,9051,231433
Mobile Application,"Flutter, Kotlin","Debugging code left in production builds, Improper use of Jetpack security library",Model Poisoning,Validate and monitor model inputs for adversarial attacks.,High,6342,114998
Mobile Application,"React Native, Swift, Flutter","Use of untrusted third-party native modules, Unvalidated User input in Flutter forms, Exposed Dart code in APK/IPA",XSS,Implement content security policy (CSP) and input validation.,High,7729,139042
Desktop Application,"Qt, C#, JavaFX","Insecure signal-slot communication, Insecure Assembly loading, Insecure reflection usage",XSS,Implement content security policy (CSP) and input validation.,Medium,3827,49729
Mobile Application,"Flutter, Java","Unvalidated user input in Flutter forms, WebView Misconfigurations",Code Injection,Avoid using eval() and sanitize user inputs.,Low,625,8606
Cloud Application,"Google Cloud, MongoDB","Misconfigured Cloud Storage Buckets, Exposed MongoDB Instances",XSS,Implement content security policy (CSP) and input validation.,Critical,9876,240400
Mobile Application,"Swift, Flutter, Java","Exposed Dart Code in APK/IPA, Unvalidated user input in Flutter forms, Insecure broadcast receivers",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Medium,3561,46556
Desktop Application,"Qt, C#, SQLite","Insecure signal-slot communication, Command injection, Storing sensitive data in Plaintext",XSS,Implement content security policy (CSP) and input validation.,Critical,9247,223776
AI/ML Application,PyTorch,Insecure model loading,API Abuse,Implement rate limiting and secure API keys.,Critical,8445,210103
Cloud Application,"MongoDB, AWS Lambda, Google Cloud","Weak Default Authentication, Insufficient Logging & Monitoring, Lack of VPC Network Isolation",Code Injection,Avoid using eval() and sanitize user inputs.,Low,2960,25808
Mobile Application,Kotlin,Insecure custom serialization/deserialization,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Critical,9138,225791
AI/ML Application,PyTorch,Insecure model loading,SQL Injection,Use prepared statements and parameterized queries.,High,6164,125027
Mobile Application,"React Native, Kotlin, Swift","Use of untrusted third-party native modules, Lack of proper background task handling, Lack of obfuscation in Dart code",API Abuse,Implement rate limiting and secure API keys.,High,7966,149674
Cloud Application,"Terraform, Kubernetes","Lack of IAM Role Restrictions, Weak Pod Security Policies",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Low,846,20949
Desktop Application,"Electron.js, Qt","Unrestricted file system access via IPC, Improper handling of user input",Privilege Escalation,Apply the principle of least privilege and audit logs.,Low,1727,6978
Web Application,CSS,Insecure External Stylesheets,Code Injection,Avoid using eval() and sanitize user inputs.,High,6080,135149
Web Application,PHP,Weak session management,Code Injection,Avoid using eval() and sanitize user inputs.,Low,2841,18555
Cloud Application,Terraform,Lack of IAM Role Restrictions,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Low,2731,21767
Cloud Application,Kubernetes,Weak Pod Security Policies,Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Medium,5637,66604
Mobile Application,"Java, Flutter","Weak SSL / TLS Certificate validation, Unvalidated user input in Flutter forms",Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Low,1028,19091
AI/ML Application,"PyTorch, Scikit-Learn","Lack of proper model integrity checks, Lack of model explainability",Code Injection,Avoid using eval() and sanitize user inputs.,Medium,3862,59099
Cloud Application,"Google Cloud, AWS Lambda","Weak Identity & Access Management (IAM) Policies, Unprotected environment variables",Data Exposure,Encrypt sensitive data and use proper access control.,High,7875,136560
Mobile Application,"Swift, React Native, Flutter","Exposed Dart Code in APK/IPA, Lack of proper code obfuscation, Debugging code left in production builds",SQL Injection,Use prepared statements and parameterized queries.,High,7237,137843
Mobile Application,Flutter,Lack of obfuscation in Dart code,Data Exposure,Encrypt sensitive data and use proper access control.,Medium,4236,61851
Web Application,"PHP, HTML, CSS","Weak session management, Insecure Form Actions, Weak CSS based UI restrictions",API Abuse,Implement rate limiting and secure API keys.,Low,1447,16830
Desktop Application,"JavaFX, SQLite","Weak cryptography implementation, Insecure File-based DB access",SQL Injection,Use prepared statements and parameterized queries.,Medium,5510,70227
Web Application,HTML,Missing Secure Flag,SQL Injection,Use prepared statements and parameterized queries.,Low,2880,7309
Mobile Application,React Native,Lack of proper code obfuscation,API Abuse,Implement rate limiting and secure API keys.,High,7092,144015
Desktop Application,"Qt, C#","Improper handling of user input, Command injection",SQL Injection,Use prepared statements and parameterized queries.,Low,2157,14569
Mobile Application,"Kotlin, Java","Missing network security configuration, Weak SSL / TLS Certificate validation",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Low,1495,5381
Mobile Application,Kotlin,Lack of proper background task handling,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,High,6035,117219
Web Application,"CSS, PHP","Clickjacking via Transparent CSS layers, Weak session management",Privilege Escalation,Apply the principle of least privilege and audit logs.,Low,1669,17203
Desktop Application,"JavaFX, Qt, C#","Weak cryptography implementation, Weak OpenSSL configuration, Weak data binding security",XSS,Implement content security policy (CSP) and input validation.,High,7416,138412
AI/ML Application,OpenAI API,Weak rate limiting,XSS,Implement content security policy (CSP) and input validation.,Low,2271,22870
Cloud Application,Terraform,Storing Sensitive Credentials in Terraform State Files,API Abuse,Implement rate limiting and secure API keys.,Medium,5358,57758
Cloud Application,"Kubernetes, MongoDB, AWS Lambda","Weak Pod Security Policies, Insecure Query Handling, Insufficient Logging & Monitoring",SQL Injection,Use prepared statements and parameterized queries.,Low,2733,20494
Mobile Application,Swift,Debugging code left in production builds,XSS,Implement content security policy (CSP) and input validation.,Low,2893,7856
AI/ML Application,"TensorFlow, Scikit-Learn, OpenAI API","Overly permissive model permissions, Insecure data preprocessing pipelines, API Misconfiguration",SQL Injection,Use prepared statements and parameterized queries.,Critical,8364,215283
AI/ML Application,"Hugging Face, TensorFlow, OpenAI API","Lack of model input sanitization, Insecure Model Serialization, API Misconfiguration",Data Exposure,Encrypt sensitive data and use proper access control.,High,7547,130728
Mobile Application,"React Native, Flutter","Use of untrusted third-party native modules, Unvalidated user input in Flutter forms",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Critical,8824,225246
Cloud Application,"Kubernetes, AWS Lambda, Google Cloud","Unrestricted API Server Access, Insufficient Logging & Monitoring, Lack of VPC Network Isolation",API Abuse,Implement rate limiting and secure API keys.,Medium,3230,37709
Mobile Application,"Java, Flutter, Swift","WebView Misconfigurations, Exposed Dart code in APK/IPA, Unvalidated User input in Flutter forms",Privilege Escalation,Apply the principle of least privilege and audit logs.,Critical,9868,231902
Mobile Application,Kotlin,Lack of proper background task handling,API Abuse,Implement rate limiting and secure API keys.,Medium,3291,39239
AI/ML Application,"TensorFlow, OpenAI API, Hugging Face","Exposed Debugging APIs, Lack of output filtering, API key leaks in Public repositories",XSS,Implement content security policy (CSP) and input validation.,Medium,4169,66692
Web Application,HTML,Lack of Content Security Policy (CSP),Privilege Escalation,Apply the principle of least privilege and audit logs.,High,7203,134713
Cloud Application,MongoDB,Exposed MongoDB Instances,API Abuse,Implement rate limiting and secure API keys.,High,6597,131171
AI/ML Application,"Scikit-Learn, Hugging Face","Lack of model explainability, Unvalidated Model contributions",API Abuse,Implement rate limiting and secure API keys.,Medium,3327,60001
Web Application,"HTML, PHP","Lack of Content Security Policy (CSP), Use of include and require with untrusted input",API Abuse,Implement rate limiting and secure API keys.,High,7774,152925
Mobile Application,React Native,Exposed JavaScript code,API Abuse,Implement rate limiting and secure API keys.,Critical,8072,202413
Web Application,"PHP, HTML, MySQL","Weak session management, Insecure Form Actions, Lack of prepared statements",Data Exposure,Encrypt sensitive data and use proper access control.,Critical,9453,225198
Desktop Application,"JavaFX, Electron.js","Hardcoded secrets in source code, Exposed Node.js APIs",XSS,Implement content security policy (CSP) and input validation.,Medium,3917,60636
Mobile Application,"Java, Swift","Insecure broadcast receivers, Unvalidated User input in Flutter forms",SQL Injection,Use prepared statements and parameterized queries.,Low,932,7760
Mobile Application,Flutter,Debugging code left in production builds,API Abuse,Implement rate limiting and secure API keys.,Low,2384,9385
Web Application,"PHP, CSS, HTML","Poor Input validation, Insecure External Stylesheets, Unvalidated Input Fields",API Abuse,Implement rate limiting and secure API keys.,Low,1111,15067
Desktop Application,"C#, JavaFX, Electron.js","Weak data binding security, Unrestricted file system access, Improper use of remote module",Code Injection,Avoid using eval() and sanitize user inputs.,Critical,8676,222079
Desktop Application,"JavaFX, C#","Hardcoded secrets in source code, Weak data binding security",Data Exposure,Encrypt sensitive data and use proper access control.,Critical,8327,211500
Web Application,MySQL,Storing plaintext passwords,SQL Injection,Use prepared statements and parameterized queries.,Low,2390,22824
Web Application,"CSS, PHP, MySQL","Insecure External Stylesheets, Hardcoded credentials in source code, Storing plaintext passwords",Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Low,1500,12087
Cloud Application,Terraform,Hardcoded Secrets in Terraform Code,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,High,6958,134636
Web Application,HTML,Missing HTTPOnly Flag,Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,High,6235,141741
Web Application,Javascript,Missing input sanitization on client side,Data Exposure,Encrypt sensitive data and use proper access control.,Low,2594,6605
Cloud Application,"Google Cloud, Terraform","Weak Identity & Access Management (IAM) Policies, Insecure Default Security Group Configurations",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,High,6398,126816
Desktop Application,"SQLite, JavaFX, Qt","Lack of input sanitization, Hardcoded secrets in source code, Improper handling of user input",Code Injection,Avoid using eval() and sanitize user inputs.,Medium,4995,73062
Desktop Application,"C#, SQLite","Insecure Assembly loading, Insecure File-based DB access",Privilege Escalation,Apply the principle of least privilege and audit logs.,Low,1258,5444
Desktop Application,"JavaFX, C#, Electron.js","Insecure reflection usage, Weak data binding security, Insecure web preference configurations",SQL Injection,Use prepared statements and parameterized queries.,Critical,9536,230078
Cloud Application,"Google Cloud, AWS Lambda","Misconfigured Cloud Storage Buckets, Unprotected environment variables",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,High,7637,130383
AI/ML Application,OpenAI API,Lack of output filtering,SQL Injection,Use prepared statements and parameterized queries.,Low,650,11699
Mobile Application,Kotlin,Insecure custom serialization/deserialization,SQL Injection,Use prepared statements and parameterized queries.,Low,903,13707
Mobile Application,Flutter,Lack of obfuscation in Dart code,Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,High,6133,117651
Desktop Application,"Electron.js, SQLite","Improper use of remote module, Lack of input sanitization",Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Low,1312,13754
Web Application,"MySQL, PHP, HTML","Over-privileged database users, Insecure file uploads, Missing Secure Flag",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Medium,3858,50306
Cloud Application,"Google Cloud, Kubernetes, Terraform","Unsecured Cloud Functions, Exposed Kubernetes Dashboard, Unvalidated Infrastructure Changes",Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Medium,4301,51283
Mobile Application,"Java, Swift, React Native","Weak SSL / TLS Certificate validation, Unvalidated User input in Flutter forms, Lack of proper code obfuscation",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Critical,8267,216970
Web Application,"MySQL, HTML, Javascript","Storing plaintext passwords, Insecure Form Actions, Insecure local storage usage",SQL Injection,Use prepared statements and parameterized queries.,Critical,8428,218580
Web Application,"CSS, PHP, Javascript","CSS injection via style attributes, Use of include and require with untrusted input, Missing input sanitization on client side",XSS,Implement content security policy (CSP) and input validation.,Critical,9833,229148
Cloud Application,AWS Lambda,Overly Permissive IAM Roles,Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,High,7834,150631
Desktop Application,SQLite,Lack of input sanitization,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,High,6933,141490
Mobile Application,React Native,Lack of proper code obfuscation,Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Medium,3020,56612
AI/ML Application,"OpenAI API, Scikit-Learn, TensorFlow","Insecure prompt injection, Lack of Robustness testing, Overly permissive model permissions",XSS,Implement content security policy (CSP) and input validation.,High,6644,126701
Mobile Application,"React Native, Swift, Flutter","Use of untrusted third-party native modules, Debugging code left in production builds, Debugging code left in production builds",Data Exposure,Encrypt sensitive data and use proper access control.,Medium,3213,39926
AI/ML Application,TensorFlow,Exposed Debugging APIs,Code Injection,Avoid using eval() and sanitize user inputs.,Critical,8796,223319
Web Application,PHP,Hardcoded credentials in source code,API Abuse,Implement rate limiting and secure API keys.,High,7715,139888
AI/ML Application,PyTorch,Lack of input validation in data pipelines,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Low,2710,13001
AI/ML Application,"PyTorch, TensorFlow","Weak file system access control, Insecure Model Serialization",Privilege Escalation,Apply the principle of least privilege and audit logs.,Medium,3936,42480
Mobile Application,"Swift, React Native","Unvalidated User input in Flutter forms, Lack of proper code obfuscation",API Abuse,Implement rate limiting and secure API keys.,Medium,3079,48737
Web Application,"MySQL, Javascript","Lack of prepared statements, Exposed API keys in frontend code",Privilege Escalation,Apply the principle of least privilege and audit logs.,High,7520,133036
Desktop Application,C#,Command injection,Privilege Escalation,Apply the principle of least privilege and audit logs.,Critical,9962,241412
Mobile Application,"Flutter, Java","Exposed Dart code in APK/IPA, WebView Misconfigurations",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Low,1902,21336
Web Application,"CSS, Javascript, PHP","Overuse of CSS Attribute Selectors, Exposed API keys in frontend code, Poor Input validation",Code Injection,Avoid using eval() and sanitize user inputs.,Low,1348,15789
Cloud Application,"AWS Lambda, Kubernetes","Insufficient Logging & Monitoring, Weak Pod Security Policies",Data Exposure,Encrypt sensitive data and use proper access control.,Low,685,20835
Desktop Application,JavaFX,Unrestricted file system access,Privilege Escalation,Apply the principle of least privilege and audit logs.,Low,2066,10646
AI/ML Application,"OpenAI API, Scikit-Learn, TensorFlow","Lack of output filtering, Insecure data preprocessing pipelines, Lack of Input Sanitization",Privilege Escalation,Apply the principle of least privilege and audit logs.,High,6639,133740
AI/ML Application,"Scikit-Learn, PyTorch","Insecure data preprocessing pipelines, Insecure model loading",Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Low,2912,9053
AI/ML Application,Hugging Face,Insecure model hosting,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,High,6987,136196
Cloud Application,Kubernetes,Weak Pod Security Policies,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,High,6719,121719
Mobile Application,"Swift, Java, Kotlin","Unvalidated User input in Flutter forms, Unprotected IPC, Insecure data storage",XSS,Implement content security policy (CSP) and input validation.,High,6318,126912
Web Application,"Javascript, HTML","Exposed API keys in frontend code, Missing HTTPOnly Flag",Privilege Escalation,Apply the principle of least privilege and audit logs.,High,6877,138431
Desktop Application,Electron.js,Weak context isolation,Privilege Escalation,Apply the principle of least privilege and audit logs.,Low,1987,11109
Desktop Application,SQLite,Insecure File-based DB access,Code Injection,Avoid using eval() and sanitize user inputs.,Critical,9155,230691
AI/ML Application,"PyTorch, OpenAI API","Insecure model loading, API Misconfiguration",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,High,6096,136587
AI/ML Application,"Hugging Face, OpenAI API, Scikit-Learn","Lack of model input sanitization, API Misconfiguration, No protection against data poisoning attacks",XSS,Implement content security policy (CSP) and input validation.,Medium,5626,50419
Cloud Application,"Kubernetes, Google Cloud","Running Pods as Root, Unsecured Cloud Functions",API Abuse,Implement rate limiting and secure API keys.,Critical,8348,224960
Web Application,"HTML, Javascript, MySQL","Hidden Input Fields Manipulation, Use of EVAL() function, No rate limiting on database queries",API Abuse,Implement rate limiting and secure API keys.,Low,2602,24509
Cloud Application,"MongoDB, Terraform, Kubernetes","Exposed MongoDB Instances, Lack of IAM Role Restrictions, Weak Pod Security Policies",Privilege Escalation,Apply the principle of least privilege and audit logs.,Low,1376,6200
Cloud Application,"Terraform, AWS Lambda, Google Cloud","Insecure Default Security Group Configurations, Unrestricted API Gateway Access, Misconfigured Cloud Storage Buckets",Privilege Escalation,Apply the principle of least privilege and audit logs.,Low,998,10331
Mobile Application,Kotlin,Insecure custom serialization/deserialization,SQL Injection,Use prepared statements and parameterized queries.,High,6699,145271
Web Application,"CSS, MySQL","Clickjacking via Transparent CSS layers, Over-privileged database users",API Abuse,Implement rate limiting and secure API keys.,Medium,3184,60621
Cloud Application,"Kubernetes, AWS Lambda","Weak Pod Security Policies, Unrestricted API Gateway Access",SQL Injection,Use prepared statements and parameterized queries.,High,7252,151581
Desktop Application,"Qt, SQLite, C#","Insecure signal-slot communication, Insecure File-based DB access, Command injection",SQL Injection,Use prepared statements and parameterized queries.,Low,1153,7364
Mobile Application,"Java, Flutter","WebView Misconfigurations, Exposed Dart code in APK/IPA",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,High,6152,136743
Desktop Application,Qt,Weak OpenSSL configuration,Privilege Escalation,Apply the principle of least privilege and audit logs.,Low,1603,20359
AI/ML Application,"PyTorch, OpenAI API, Scikit-Learn","Insecure model loading, Weak rate limiting, No protection against data poisoning attacks",XSS,Implement content security policy (CSP) and input validation.,High,6630,125816
Web Application,"Javascript, MySQL","Missing input sanitization on client side, Over-privileged database users",Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Low,2943,17293
Web Application,HTML,Lack of Content Security Policy (CSP),API Abuse,Implement rate limiting and secure API keys.,High,7001,145506
Cloud Application,"MongoDB, Terraform, Google Cloud","No Role-Based Access Control (RBAC) Implemented, Storing Sensitive Credentials in Terraform State Files, Insufficient API Key Security",SQL Injection,Use prepared statements and parameterized queries.,High,6158,118453
Cloud Application,"AWS Lambda, Google Cloud, Kubernetes","Insufficient Logging & Monitoring, Unsecured Cloud Functions, Insecure RBAC Configurations",XSS,Implement content security policy (CSP) and input validation.,Low,2769,6711
Desktop Application,SQLite,Storing sensitive data in Plaintext,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Critical,8295,212406
Mobile Application,"Flutter, Swift","Insecure platform channel communication, Unvalidated User input in Flutter forms",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Medium,4590,48338
Cloud Application,"Terraform, MongoDB, AWS Lambda","Storing Sensitive Credentials in Terraform State Files, Insecure Query Handling, Unrestricted API Gateway Access",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,High,7361,145577
AI/ML Application,"TensorFlow, Scikit-Learn","Insecure Model Serialization, Lack of Robustness testing",Code Injection,Avoid using eval() and sanitize user inputs.,Critical,9169,230300
Cloud Application,"Terraform, Google Cloud, Kubernetes","Storing Sensitive Credentials in Terraform State Files, Weak Identity & Access Management (IAM) Policies, Unrestricted API Server Access",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Low,1197,7774
AI/ML Application,Scikit-Learn,Lack of Robustness testing,Model Poisoning,Validate and monitor model inputs for adversarial attacks.,Medium,3116,62542
Cloud Application,"AWS Lambda, Kubernetes, Terraform","Unprotected environment variables, Insecure RBAC Configurations, Lack of IAM Role Restrictions",Code Injection,Avoid using eval() and sanitize user inputs.,Low,2241,24253
Desktop Application,JavaFX,Insecure reflection usage,Code Injection,Avoid using eval() and sanitize user inputs.,Low,1802,23096
Desktop Application,"JavaFX, SQLite, C#","Unrestricted file system access, No DB encryption by default, Command injection",SQL Injection,Use prepared statements and parameterized queries.,Critical,8069,202476
Mobile Application,Swift,Lack of obfuscation in Dart code,XSS,Implement content security policy (CSP) and input validation.,Critical,8427,207674
Cloud Application,"Terraform, Kubernetes","Insecure Default Security Group Configurations, Exposed Kubernetes Dashboard",SQL Injection,Use prepared statements and parameterized queries.,Low,2430,6390
Mobile Application,"Swift, Kotlin, Flutter","Insecure platform channel communication, Missing network security configuration, Exposed Dart code in APK/IPA",Privilege Escalation,Apply the principle of least privilege and audit logs.,Low,1395,9950
Desktop Application,"SQLite, C#, JavaFX","Insecure File-based DB access, Weak data binding security, Hardcoded secrets in source code",Code Injection,Avoid using eval() and sanitize user inputs.,Low,2835,23736
AI/ML Application,"OpenAI API, Scikit-Learn","API Misconfiguration, No protection against data poisoning attacks",Privilege Escalation,Apply the principle of least privilege and audit logs.,Critical,8487,220601
Cloud Application,"Google Cloud, MongoDB, Terraform","Weak Identity & Access Management (IAM) Policies, Insecure Query Handling, Lack of IAM Role Restrictions",API Abuse,Implement rate limiting and secure API keys.,Low,1762,23129
Desktop Application,"C#, SQLite, Electron.js","Insecure Assembly loading, Insecure File-based DB access, Weak context isolation",SQL Injection,Use prepared statements and parameterized queries.,Critical,8120,211713
Mobile Application,"Java, React Native, Flutter","Hardcoded API keys and credentials, Exposed JavaScript code, Insecure platform channel communication",Code Injection,Avoid using eval() and sanitize user inputs.,High,7876,138869
Cloud Application,"Kubernetes, Terraform","Unrestricted API Server Access, Hardcoded Secrets in Terraform Code",Privilege Escalation,Apply the principle of least privilege and audit logs.,High,6276,137398
Mobile Application,Kotlin,Improper use of Jetpack security library,Data Exposure,Encrypt sensitive data and use proper access control.,Low,643,2991
Mobile Application,"Kotlin, Java, Flutter","Insecure custom serialization/deserialization, WebView Misconfigurations, Unvalidated user input in Flutter forms",API Abuse,Implement rate limiting and secure API keys.,High,6265,141677
Cloud Application,"Google Cloud, Terraform","Insufficient API Key Security, Hardcoded Secrets in Terraform Code",Data Exposure,Encrypt sensitive data and use proper access control.,Medium,3895,67683
Cloud Application,"MongoDB, Terraform","Insecure Query Handling, Storing Sensitive Credentials in Terraform State Files",API Abuse,Implement rate limiting and secure API keys.,High,6575,140143
Cloud Application,Google Cloud,Lack of VPC Network Isolation,XSS,Implement content security policy (CSP) and input validation.,High,7034,139197
